Date,Rainfall,Temperature,Humidity
2024-03-31,6.0,25.8,78.7
2024-04-01,7.5,26.6,75.4
2024-04-02,20.7,27.2,68.8
2024-04-03,9.0,29.8,62.7
2024-04-04,19.0,26.7,66.9
2024-04-05,0.1,27.8,81.0
2024-04-06,2.7,25.4,64.9
2024-04-07,0.0,34.3,86.8
2024-04-08,0.6,25.5,85.0
2024-04-09,12.7,30.2,75.8
2024-04-10,0.0,24.7,80.5
2024-04-11,17.4,25.6,82.1
2024-04-12,0.0,31.9,87.6
2024-04-13,4.0,26.7,69.6
2024-04-14,4.4,24.9,76.3
2024-04-15,14.3,29.9,67.4
2024-04-16,15.4,34.0,79.8
2024-04-17,28.1,30.3,74.7
2024-04-18,22.5,34.8,73.4
2024-04-19,0.0,30.8,74.3
2024-04-20,0.0,34.4,73.9
2024-04-21,17.6,24.5,84.3
2024-04-22,0.0,30.8,69.5
2024-04-23,24.9,31.3,65.5
2024-04-24,3.1,34.4,71.9
2024-04-25,10.6,24.9,71.9
2024-04-26,0.0,34.9,87.8
2024-04-27,7.9,32.3,65.6
2024-04-28,14.9,29.2,88.2
2024-04-29,26.5,29.5,60.2
2024-04-30,0.9,31.0,66.7
2024-05-01,26.3,30.1,88.7
2024-05-02,29.6,33.4,85.2
2024-05-03,18.4,31.0,77.8
2024-05-04,4.9,25.9,81.9
2024-05-05,24.4,31.8,79.1
2024-05-06,3.7,25.9,62.4
2024-05-07,6.1,33.9,77.7
2024-05-08,16.3,34.1,78.1
2024-05-09,29.9,32.4,68.6
2024-05-10,25.1,34.4,84.6
2024-05-11,21.2,26.4,82.6
2024-05-12,0.0,34.7,72.5
2024-05-13,22.1,34.6,85.0
2024-05-14,28.0,28.2,74.7
2024-05-15,3.8,32.6,87.3
2024-05-16,0.0,32.6,78.9
2024-05-17,28.0,28.3,67.8
2024-05-18,14.3,28.3,79.7
2024-05-19,25.4,28.5,76.7
2024-05-20,25.2,31.0,81.7
2024-05-21,4.3,29.6,84.7
2024-05-22,25.7,27.0,83.2
2024-05-23,0.0,27.7,63.1
2024-05-24,25.6,27.6,81.1
2024-05-25,23.2,33.7,83.0
2024-05-26,27.5,28.2,87.5
2024-05-27,29.5,31.8,73.4
2024-05-28,13.8,34.8,80.9
2024-05-29,10.1,28.2,62.2
2024-05-30,24.7,24.2,62.2
2024-05-31,11.2,26.6,83.8
2024-06-01,29.0,25.4,80.7
2024-06-02,0.0,25.1,67.5
2024-06-03,21.1,32.3,64.7
2024-06-04,25.5,27.9,66.0
2024-06-05,2.4,33.8,66.3
2024-06-06,0.0,32.7,88.3
2024-06-07,0.0,31.7,80.8
2024-06-08,15.2,30.0,77.9
2024-06-09,12.7,31.9,65.7
2024-06-10,4.3,26.7,86.4
2024-06-11,29.6,24.9,72.2
2024-06-12,0.0,32.8,83.8
2024-06-13,21.0,27.8,69.7
2024-06-14,10.6,33.2,65.2
2024-06-15,10.8,34.2,80.4
2024-06-16,2.9,24.1,85.7
2024-06-17,0.0,24.1,68.2
2024-06-18,5.8,31.6,73.2
2024-06-19,19.9,33.3,74.0
2024-06-20,0.0,29.2,68.0
2024-06-21,3.8,25.8,81.0
2024-06-22,13.7,30.5,63.3
2024-06-23,2.4,28.1,66.6
2024-06-24,11.3,28.2,73.0
2024-06-25,5.3,34.8,67.9
2024-06-26,0.0,30.9,61.0
2024-06-27,11.3,27.7,83.3
2024-06-28,0.0,31.2,77.2
2024-06-29,7.3,31.9,73.9
2024-06-30,0.0,31.2,76.8
